Missing Reports,Missing Forms,Validation Checklist,Missing Plans,Missing Details,Missing Drawings,Incorrect Fee - Underpayment,Incorrect Fee - Other,Other
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/","The application must be accompanied by a Drainage strategy, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/drainage-strategy/","No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","We require all proposed plans to scale showing elevations to scale of the proposed works to include the cabinets, details of the pole , transmission dish and antennas",We require photographic evidence of the site notice in situ OR details of when and where the site notices have been displayed,Drawing number L200 has been annotated incorrectly at first floor level,The submitted fee is insufficient. Please forward a further £^IN; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,"A fee of £120 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.","We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above."
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",The application form states the following: Condition 4 - Discharge condition in relation to landscaping proposal Condition 6 - Discharge condition in relation to replacement tree planting proposal This application type is only for variation or removal of conditions. Please clarify.,"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Please clarify the proposal. It states that the proposed extension is side/rear. This type of application can only be used for rear extensions from the original building. (or as it was 1st July 1948).,Please add a scale bar to the sectional drawing.,The submitted fee is insufficient. Please forward a further £117.00 by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,"The application states the development is for disabled applicant, however no justification has been provided. A fee of £206.00 must be paid or justification provided by an adequately qualified person including details as to the need for the development in relation to the needs of the disabled occupier.",Please submit a copy of the site notice related to the demolition.
"The application must be accompanied by a Noise Impact Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/","The application form did not have a site address. Please confirm the site address: Land Adjacent To Winton Cricket Club, Worsley Road, Eccles, Salford.","No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Please resubmit the site plan to include the entire site area.,Please clarify if the proposed extension is proposed to be at the side of an existing extension or is it to the side of the original house. The term 'original house' means  the house as it was first built or as it stood on 1 July 1948  (if it was built before that date). You can only apply with this type of application if the extension is classed as a rear extension. Please confirm that the extension proposed is a rear extension.,"The proposal states extension and refurbishment, the Design and Access states ""use of lightweight prefabricated SIPS, sitting on a concrete raft foundation"" confirmation is required of any proposed demolition on the site, as this will have to be reflected within the proposal","The submitted fee is insufficient. A fee of £^IN is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.","No fee has been submitted. Please pay £5,340.00, payment can be made by telephoning 0161 779 6195.",Please submit a photographs of the site notice in situ at site.
The submitted Method Statement has Tender Stage Only across all pages - please amend,"The address we have for this site in our system is Bt Repeater Station, Summerville Road. Please amend the application form accordingly.","No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Please clarify if the works have already carried out or not. The photograph submitted is not labelled and it is unclear so it is not clear whether the panels have been already installed.,Please provide sectional drawings with the mezzanine illustrated in them.,"The submitted fee is insufficient. A fee of £ £8,460.00 is required for this application.",Please pay the application fee £240.00 by card by calling 0161 779 6195.,Please submit a photograph of the site notice as displayed at the site.
"The application must be accompanied by a Flood Risk Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/ Or go the Environment Agency web page https://www.gov.uk/guidance/flood-risk-assessment-for-planning-applications.",A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","Please clarify the red line on the location plan. The red line should be around the site and the area required to including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings.",We require detailed drawings of the proposed lighting system,The submitted fee is insufficient. Please forward a further £^IN; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,Please forward £540.00 by return. Payment can be made by telephoning 0161 779 6195.,"Please add scale and scale bar, as well as north arrow in the location plan."
Please provide written statement of the proposed works.,A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Please amend proposed elevations sheet 2 and 3. They refer to existing elevation B and C.,"Please clarify if you are requesting the advice for the change of use to a shop. If you wish to have advice for alternate options as proposals, you would need to submit separate pre-application advice requests.","Scale bar missing from plan, drawing number 1206-05-06",The submitted fee is insufficient. Please forward a further £293.00 by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,"Please clarify the floor space proposed for the scheme to determine the fee. It appears from the previous application 21/78656/FUL that this would be >1,000sqm which would make this a category 8 application. Once this has been clarified we will request the appropriate fee.",Please submit a photograph of the site notice as displayed at site with some background context.
Please provide a written statement for the proposal.,"Please confirm the address of the site. The form indicates to 101 Regent Road, but the brochure included details 100 Regent Road.","No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/","A proposed site plan is required at a scale of 1:200 or 1:500 and, as a minimum should include: - A North arrow - The proposed site plan should show the development in relation to the site boundaries and other existing buildings on or adjacent to the site, as well as written dimensions including those to the boundaries - The position and crown spread of all trees (to scale) within the application site or within falling distance of the application site - Details of any boundary treatments and hard surfacing - Any public rights of ways which may cross or run adjacent to the site - parking and access arrangements  https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Please amend the sketch plan to indicate the trees separately and not as a group as they are individually assessed. Please give them numbering e.g. T1 and T2 and clarify which tree is which.,"Drawing number 4 seems to be incorrectly annotated? ""Existing Bin Location Plan"" should this be ""Proposed bike store""","The submitted fee is insufficient. A fee of £293 is required for this application. Please pay the fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.",Please pay the fee £480.00. Payment can be made by telephoning 0161 779 6195.,Please provide a photograph of the site notice as it is displayed at site in the location.
Please provide a written statement for the proposed works.,SUDS - You are required to submit a North west SUDs Prop forma,A location plan was submitted but it is not in the correct scale and does not have s ufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear. Please see https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/ for the requirements.,"Please include a scale bar to all plans, some site/elevation/floor plans do not have them.","Could you please clarify the proposal in terms of the use of the building. Is this going to be a separate living unit with a separate address, or in the use of the main house. If it is intended to be a separate living unit, it requires a full planning application.",Please submit scaled proposed sectional drawings from each side the proposal affects.,"The submitted fee is insufficient. A fee of £289 is required for this application. Please pay the additional fee of £160 fee directly to Planning Portal, once payment has been made please email evidence to planning.contact@salford.gov.uk.","The application category chosen is incorrect and is intended for works to single households or adverts. For 6 apartments proposed this falls under category 7. The total fee for this is £1,080.00 (incl. VAT). This is the basic fee for written advice with no consultees and no meeting. Please pay the top up fee £980.00 by phoning 0161 779 6195.",Please include the total floor space for the unit in sqm in the proposed plans.
Please provide a written statement for the proposed works.,"DRAIN - The application must be accompanied by a Drainage strategy , as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/drainage-strategy/","The location plan provided is insufficient. The application site needs to be outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient road names and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Please submit scaled existing and proposed elevation plans in PDF-format and metric.,"Please clarify the proposal. The proposal in the application for details the loft conversion and dormer. However, in the grounds for the application it is requested that the extension is to be considered. But then in the latter part it is detailed that the single storey rear and side extensions are not to be considered.","Proposed plans drawing number 003 seem to be annotated incorrectly, Bedroom 3 is missing and shows bedrooms up to 6. Please amend plans",The submitted fee is insufficient. Please forward a further £190.00; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,A fee of £720.00 is required for this application. Please pay the fee by calling 0161 779 6195.,"We have removed the first floor flat from the proposal. If the first floor flat is lawfully in C3 use as a dwelling already, it does not need a prior notification application as there is no change use. Please confirm if this is the case and if you agree to the proposal wording change."
Please provide a written statement for the proposal.,You are required to submit a Northwest SUDs Pro forma.,"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Please submit a scaled floor plan in PDF format with the door positions indicated.,Two sets of existing and proposed plans have been submitted. Please clarify which ones you are submitting for consideration with this application. Please also indicate clearly if the plans have elements that are not to be considered.,The sketch plan identifying the tree is missing. Please provide a sketch plan showing the boundaries and adjoining properties (including house numbers or names) .,The submitted fee is insufficient. Please forward a further £164.00; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,We have not received a fee for this application. Please forward £510.00 (incl.VAT) by return. Payment can be made by telephoning 0161 779 6195.,"Please note that the outbuildings have not been added to the proposal as they cannot be applied for with this type of application. Please check if they are permitted development, and apply for the appropriate consent if they are not."
