Invalid Reason Details,Planning Application: Application Type
,Planning Performance Agreement
"The application must be accompanied by a Biodiversity Net Gain Metric, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/biodiversity-net-gain-assessment/",Hybrid
"The application must be accompanied by a Drainage strategy, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/drainage-strategy/",Hybrid
The submitted fee is insufficient. Please forward a further £^IN; by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,Hybrid
"The application must be accompanied by a Heritage Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at Local information requirements: Heritage assessment?Salford City Council .",Hybrid
"The application must be accompanied by a Noise Impact Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/",Hybrid
The submitted fee is insufficient. Please forward a further £117.00 by return. Cheques should be made payable to City of Salford or payment can be made by telephoning 0161 779 6195.,Removal/variation of conditions
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Removal/variation of conditions
The application form states the following: Condition 4 - Discharge condition in relation to landscaping proposal Condition 6 - Discharge condition in relation to replacement tree planting proposal This application type is only for variation or removal of conditions. Please clarify.,Removal/variation of conditions
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above.",Removal/variation of conditions
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Removal/variation of conditions
"We require all proposed plans to scale showing elevations to scale of the proposed works to include the cabinets, details of the pole , transmission dish and antennas",Prior notification: Development by telecoms operators
"The application form did not have a site address. Please confirm the site address: Land Adjacent To Winton Cricket Club, Worsley Road, Eccles, Salford.",Prior notification: Development by telecoms operators
"The address we have for this site in our system is Bt Repeater Station, Summerville Road. Please amend the application form accordingly.",Prior notification: Development by telecoms operators
Please submit a copy of the site notice related to the demolition.,Prior notification: Demolition
Please submit a photographs of the site notice in situ at site.,Prior notification: Demolition
Please submit a photograph of the site notice as displayed at the site.,Prior notification: Demolition
"Please add scale and scale bar, as well as north arrow in the location plan.",Prior notification: Demolition
Please submit a photograph of the site notice as displayed at site with some background context.,Prior notification: Demolition
"No location plan has been provided. The location plan should be at a scale of 1:1250 unless the site is very large and cannot be shown in its entirety on a single sheet of paper in which case a smaller scale may be used. For example, 1:2500. It should be scaled to fit onto A4 or A3 size paper where possible and be based on an up-to date map, It must include the following The application site outlined with a continuous red line including all land necessary to carry out the proposed development e.g. land required for access to the site from a public highway, visibility splays, landscaping, car parking and open areas around buildings; A blue line around any other land owned by the applicant close to or adjoining the application site; Sufficient roads and/or buildings on land adjoining the application site to ensure that the exact location of the application site is clear; A north arrow. https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/statutory-national-validation-requirements/",Prior notification: Demolition
Please provide a photograph of the site notice as it is displayed at site in the location.,Prior notification: Demolition
The submitted Method Statement has Tender Stage Only across all pages - please amend,Prior notification: Demolition
We require photographic evidence of the site notice in situ OR details of when and where the site notices have been displayed,Prior notification: Demolition
Please include the total floor space for the unit in sqm in the proposed plans.,"Prior approval Part 3 Class MA: Commercial, business and service uses to dwellinghouses"
"The application must be accompanied by a Flood Risk Assessment, as required by Salford's Validation Checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/local-information-requirements/ Or go the Environment Agency web page https://www.gov.uk/guidance/flood-risk-assessment-for-planning-applications.","Prior approval Part 3 Class MA: Commercial, business and service uses to dwellinghouses"
"We have removed the first floor flat from the proposal. If the first floor flat is lawfully in C3 use as a dwelling already, it does not need a prior notification application as there is no change use. Please confirm if this is the case and if you agree to the proposal wording change.","Prior approval Part 3 Class MA: Commercial, business and service uses to dwellinghouses"
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,"Prior approval Part 3 Class MA: Commercial, business and service uses to dwellinghouses"
"Please note that the outbuildings have not been added to the proposal as they cannot be applied for with this type of application. Please check if they are permitted development, and apply for the appropriate consent if they are not.","Prior approval Part 3 Class MA: Commercial, business and service uses to dwellinghouses"
A scale bar must be included on all plans submitted as outlined in the Council's validation checklist. Further details about the information required can be found on the web site at https://www.salford.gov.uk/planning-building-and-regeneration/planning-applications/apply-for-planning-permission/validation-checklist/,"Prior approval Part 3 Class MA: Commercial, business and service uses to dwellinghouses"
"We consider the description of the proposal you have submitted would be better amended to clearly reflect the work proposed. However, we require your agreement to change a proposal. Can you please confirm, BY RETURN E-MAIL, that you are agreeable to the proposal being amended as shown above. Please note that any external changes additional to the change of use to dwellings cannot be applied with this type of application. If any of the proposed external changes require a planning permission, they will need to be applied for with a full planning application.","Prior approval Part 3 Class MA: Commercial, business and service uses to dwellinghouses"
Please provide the sizes of each unit sqm.,"Prior approval Part 3 Class MA: Commercial, business and service uses to dwellinghouses"
Please provide the proposed maximum height of the building.,Prior approval Part 20 Class A: New dwellinghouses on detached block of flats
